,CALIBRATION,TYPE,OLD PART NUMBER(S),NEW PART NUMBER(s),Year,Body,BC Description,BC Length,Engine Size
0,2007 2008 2009 VB CR4 D1 - RAM 3500 PICKUP VA - SPRINTER VB - SPRINTER,ECM,"0014489240, 0024468640, 0064468240, 0064488540, 0084488640, 0104483840",0104486240,"2007, 2008, 2009","VB, D1, VA","D1 - RAM 3500 PICKUP, VA - SPRINTER, VB - SPRINTER",10,
1,2011 P3 2.0L CVT BUX ROW P3 - CALIBER (CKD),PCM,05150542AE,04494025AB,2011,P3,P3 - CALIBER (CKD),2,2.0L
2,98 LH EATXIIIA WITHOUT AUTOSTICK LH - INTREPID/CONCORDE/300M,TCM,"04606081AA, 04606081AB, 04606081AC, 04606081AD, 04606081AE, 04606081AF, 04606081AG, 04606081AH, 04606081AI, 04606081AJ",04606081AK,1998,LH,LH - INTREPID/CONCORDE/300M,2,
3,98 LH EATXIIIA WITH AUTOSTICK LH - INTREPID/CONCORDE/300M,TCM,"04606082AA, 04606082AB, 04606082AC, 04606082AD, 04606082AE, 04606082AF, 04606082AG, 04606082AH, 04606082AI, 04606082AJ",04606082AK,1998,LH,LH - INTREPID/CONCORDE/300M,2,
4,95 2.5 JA EXPORT JA - BREEZE/STRATUS/CIRRUS,PCM,"04606068, 04606522, 04606610, 04606727",04606123,1995,JA,JA - BREEZE/STRATUS/CIRRUS,2,
5,95 2.0 JA FEDERAL MANUAL 126 MPH JA - BREEZE/STRATUS/CIRRUS,PCM,"04606098, 04606099, 04606534, 04606602, 04606721",04606174,1995,JA,JA - BREEZE/STRATUS/CIRRUS,2,
6,95 2.0 JA CAL/FED MANUAL 108 MPH JA - BREEZE/STRATUS/CIRRUS,PCM,"04606088, 04606103, 04606526, 04606606, 04606711",04606175,1995,JA,JA - BREEZE/STRATUS/CIRRUS,2,
7,95 2.0 JA CAL/FED MANUAL 126 MPH JA - BREEZE/STRATUS/CIRRUS,PCM,"04606094, 04606107, 04606536, 04606603, 04606715",04606176,1995,JA,JA - BREEZE/STRATUS/CIRRUS,2,
8,96 2.4 J2 AUTO TRANS MEXICO J2 - CIRRUS/STRATUS (MEXICO),PCM,"04606149, 04606256",04606178,1996,J2,J2 - CIRRUS/STRATUS (MEXICO),2,
9,95 2.4 JA AUTO OBDII 50 STATE NORMAL TIRES JA - BREEZE/STRATUS/CIRRUS,PCM,"04605265, 04606072, 04606125, 04606252",04606185,1995,JA,JA - BREEZE/STRATUS/CIRRUS,2,
